temp,PM10,prec,shum,wind,CO,srad,pres,Mean,NO2,PM2.5,SO2,AQI,O3,lrad,Hour,Day,Month,Year
275.82529998779296,137.0,50.0,0.0250000011210013,60.00403999328614,1.4,694.6875,268372.0,77.0,87.0,77.0,7.0,103.0,3.0,735.6875,0,1,1,2018
275.82529998779296,131.0,50.0,0.0250000011210013,60.00403999328614,1.4,694.6875,268372.0,77.5,88.0,78.0,10.0,104.0,7.0,735.6875,1,1,1,2018
275.82529998779296,134.0,50.0,0.0250000011210013,60.00403999328614,1.6,694.6875,268372.0,76.66666666666667,78.0,75.0,11.0,100.0,5.0,735.6875,2,1,1,2018
275.89149993896484,102.0,50.0,0.0250000009160004,60.00607599639893,1.4,777.6875,268448.0,71.75,75.0,57.0,9.0,78.0,4.0,738.1875,3,1,1,2018
275.89149993896484,67.0,50.0,0.0250000009160004,60.00607599639893,1.1,777.6875,268448.0,64.6,68.0,36.0,9.0,59.0,2.0,738.1875,4,1,1,2018
275.89149993896484,64.0,50.0,0.0250000009160004,60.00607599639893,1.0,777.6875,268448.0,59.333333333333336,65.0,33.0,7.0,57.0,2.0,738.1875,5,1,1,2018
275.9113998413086,58.0,50.0,0.0250000009430013,60.00420799255371,1.0,767.625,268068.0,54.42857142857143,63.0,25.0,6.0,54.0,2.0,740.375,6,1,1,2018
275.9113998413086,44.0,50.0,0.0250000009430013,60.00420799255371,0.8,767.625,268068.0,49.5,62.0,15.0,5.0,44.0,2.0,740.375,7,1,1,2018
275.9113998413086,32.0,50.0,0.0250000009430013,60.00420799255371,0.7,767.625,268068.0,45.44444444444444,61.0,13.0,5.0,32.0,2.0,740.375,8,1,1,2018
275.8957998657225,40.0,50.0,0.0250000011750012,60.00456399536133,0.8,685.5,268220.0,42.3,59.0,14.0,6.0,40.0,3.0,741.375,9,1,1,2018
275.8957998657225,49.0,50.0,0.0250000011750012,60.00456399536133,0.9,685.5,268220.0,39.63636363636363,55.0,13.0,8.0,49.0,10.0,741.375,10,1,1,2018
275.8957998657225,36.0,50.0,0.0250000011750012,60.00456399536133,0.7,685.5,268220.0,37.5,46.0,14.0,8.0,36.0,20.0,741.375,11,1,1,2018
275.8613998413086,33.0,50.0,0.0250000014030002,60.00221999359131,0.7,685.0,268520.0,35.76923076923077,35.0,15.0,8.0,33.0,30.0,739.0625,12,1,1,2018
275.8613998413086,44.0,50.0,0.0250000014030002,60.00221999359131,1.0,685.0,268520.0,34.857142857142854,34.0,23.0,11.0,44.0,33.0,739.0625,13,1,1,2018
275.8613998413086,68.0,50.0,0.0250000014030002,60.00221999359131,1.2,685.0,268520.0,35.13333333333333,35.0,39.0,14.0,59.0,36.0,739.0625,14,1,1,2018
275.8591998291016,80.0,50.0,0.0250000019540004,60.00207599639893,1.7,685.0,268668.0,35.875,43.0,47.0,19.0,65.0,32.0,739.875,15,1,1,2018
275.8591998291016,110.0,50.0,0.0250000019540004,60.00207599639893,2.0,685.0,268668.0,37.76470588235294,60.0,68.0,19.0,91.0,21.0,739.875,16,1,1,2018
275.8591998291016,121.0,50.0,0.0250000019540004,60.00207599639893,2.0,685.0,268668.0,39.61111111111112,69.0,71.0,19.0,95.0,11.0,739.875,17,1,1,2018
275.8325,127.0,50.0,0.0250000018410012,60.00208799743653,2.0,685.0,269040.0,41.26315789473684,77.0,71.0,19.0,95.0,3.0,737.5625,18,1,1,2018
275.8325,128.0,50.0,0.0250000018410012,60.00208799743653,2.0,685.0,269040.0,42.55,74.0,67.0,19.0,90.0,3.0,737.5625,19,1,1,2018
275.8325,128.0,50.0,0.0250000018410012,60.00208799743653,2.0,685.0,269040.0,43.71428571428572,74.0,67.0,19.0,90.0,3.0,737.5625,20,1,1,2018
275.8197998046875,136.0,50.0,0.0250000016820002,60.00197199249268,1.4,685.0,269208.0,44.95454545454545,65.0,71.0,9.0,95.0,3.0,735.6875,21,1,1,2018
275.8197998046875,90.0,50.0,0.0250000016820002,60.00197199249268,0.8,685.0,269208.0,45.30434782608695,47.0,53.0,4.0,73.0,13.0,735.6875,22,1,1,2018
275.8197998046875,58.0,50.0,0.0250000016820002,60.00197199249268,0.6,685.0,269208.0,44.91666666666666,38.0,36.0,3.0,54.0,19.0,735.6875,23,1,1,2018
275.8307998657225,46.0,50.0,0.0250000017790012,60.00184799194336,0.6,696.5625,269728.0,44.4,42.0,32.0,3.0,46.0,15.0,740.3125,0,2,1,2018
275.8307998657225,47.0,50.0,0.0250000017790012,60.00184799194336,0.8,696.5625,269728.0,44.26923076923077,50.0,41.0,3.0,58.0,8.0,740.3125,1,2,1,2018
275.8307998657225,66.0,50.0,0.0250000017790012,60.00184799194336,1.1,696.5625,269728.0,44.55555555555556,58.0,52.0,5.0,71.0,3.0,740.3125,2,2,1,2018
275.88119995117194,73.0,50.0,0.0250000008899998,60.00815999603272,1.3,780.25,269852.0,44.85714285714285,59.0,53.0,5.0,73.0,2.0,736.625,3,2,1,2018
275.88119995117194,65.0,50.0,0.0250000008899998,60.00815999603272,1.5,780.25,269852.0,44.93103448275862,60.0,47.0,6.0,65.0,2.0,736.625,4,2,1,2018
275.88119995117194,66.0,50.0,0.0250000008899998,60.00815999603272,1.5,780.25,269852.0,44.93333333333333,61.0,45.0,7.0,63.0,2.0,736.625,5,2,1,2018
275.9054998779297,68.0,50.0,0.0250000009439997,60.00555199432373,1.5,736.8125,269632.0,43.86666666666667,63.0,45.0,7.0,63.0,2.0,750.0,6,2,1,2018
275.9054998779297,69.0,50.0,0.0250000009439997,60.00555199432373,1.7,736.8125,269632.0,42.96666666666667,67.0,51.0,8.0,70.0,2.0,750.0,7,2,1,2018
275.9054998779297,91.0,50.0,0.0250000009439997,60.00555199432373,1.8,736.8125,269632.0,42.43333333333333,69.0,59.0,8.0,80.0,3.0,750.0,8,2,1,2018
275.9007000732421,101.0,50.0,0.0250000008450001,60.007559997558594,2.0,685.5,269688.0,42.43333333333333,68.0,57.0,10.0,78.0,4.0,744.5625,9,2,1,2018
275.9007000732421,75.0,50.0,0.0250000008450001,60.007559997558594,1.5,685.5,269688.0,42.5,60.0,38.0,16.0,63.0,8.0,744.5625,10,2,1,2018
275.9007000732421,29.0,50.0,0.0250000008450001,60.007559997558594,1.1,685.5,269688.0,41.833333333333336,40.0,13.0,11.0,29.0,24.0,744.5625,11,2,1,2018
275.8904000854492,21.0,50.0,0.0250000007240008,60.00373999786377,0.6,685.0,269852.0,41.3,29.0,9.0,8.0,21.0,37.0,743.375,12,2,1,2018
275.8904000854492,24.0,50.0,0.0250000007240008,60.00373999786377,0.5,685.0,269852.0,41.0,24.0,6.0,7.0,24.0,42.0,743.375,13,2,1,2018
275.8904000854492,30.0,50.0,0.0250000007240008,60.00373999786377,0.5,685.0,269852.0,41.0,25.0,13.0,7.0,30.0,43.0,743.375,14,2,1,2018
275.87,38.0,50.0,0.0250000005970001,60.005891998291006,0.5,685.0,269852.0,41.0,26.0,14.0,7.0,38.0,43.0,741.375,15,2,1,2018
275.87,31.0,50.0,0.0250000005970001,60.005891998291006,0.3,685.0,269852.0,40.86666666666667,23.0,9.0,6.0,31.0,47.0,741.375,16,2,1,2018
275.87,31.0,50.0,0.0250000005970001,60.005891998291006,0.3,685.0,269852.0,40.6,26.0,6.0,5.0,31.0,44.0,741.375,17,2,1,2018
275.8554000854492,35.0,50.0,0.0250000005860012,60.007991996765135,0.3,685.0,269852.0,40.266666666666666,30.0,5.0,5.0,35.0,38.0,740.125,18,2,1,2018
275.8554000854492,34.0,50.0,0.0250000005860012,60.007991996765135,0.3,685.0,269852.0,39.7,31.0,6.0,4.0,34.0,36.0,740.125,19,2,1,2018
275.8554000854492,34.0,50.0,0.0250000005860012,60.007991996765135,0.3,685.0,269852.0,38.63333333333333,32.0,7.0,4.0,34.0,34.0,740.125,20,2,1,2018
275.8454998779297,30.0,50.0,0.0250000006409995,60.0039279937744,0.3,685.0,269852.0,37.16666666666666,24.0,3.0,3.0,30.0,45.0,739.4375,21,2,1,2018
275.8454998779297,21.0,50.0,0.0250000006409995,60.0039279937744,0.3,685.0,269852.0,35.0,17.0,3.0,2.0,21.0,53.0,739.4375,22,2,1,2018
275.8454998779297,22.0,50.0,0.0250000006409995,60.0039279937744,0.3,685.0,269852.0,32.733333333333334,23.0,3.0,3.0,22.0,46.0,739.4375,23,2,1,2018
275.8439999389648,22.0,50.0,0.025000000415001,60.00434799194336,0.3,693.4375,269852.0,30.466666666666665,23.0,3.0,2.0,22.0,43.0,736.875,0,3,1,2018
275.8439999389648,17.0,50.0,0.025000000415001,60.00434799194336,0.3,693.4375,269852.0,28.33333333333333,20.0,3.0,2.0,19.0,45.0,736.875,1,3,1,2018
275.8439999389648,24.0,50.0,0.025000000415001,60.00434799194336,0.3,693.4375,269852.0,26.2,20.0,3.0,3.0,24.0,43.0,736.875,2,3,1,2018
275.8630999755859,27.0,50.0,0.025000000415001,60.00831999206543,0.3,766.5625,269852.0,23.933333333333334,25.0,3.0,4.0,27.0,38.0,738.625,3,3,1,2018
275.8630999755859,18.0,50.0,0.025000000415001,60.00831999206543,0.3,766.5625,269852.0,22.266666666666666,27.0,3.0,4.0,19.0,36.0,738.625,4,3,1,2018
275.8630999755859,15.0,50.0,0.025000000415001,60.00831999206543,0.3,766.5625,269852.0,21.2,23.0,4.0,4.0,19.0,39.0,738.625,5,3,1,2018
275.8766000366211,15.0,50.0,0.025000000415001,60.00982399749756,0.3,776.1875,269852.0,20.23333333333333,25.0,3.0,5.0,19.0,37.0,734.5625,6,3,1,2018
275.8766000366211,17.0,50.0,0.025000000415001,60.00982399749756,0.4,776.1875,269852.0,19.03333333333333,28.0,5.0,5.0,19.0,34.0,734.5625,7,3,1,2018
275.8766000366211,20.0,50.0,0.025000000415001,60.00982399749756,0.4,776.1875,269852.0,17.533333333333335,28.0,7.0,5.0,20.0,34.0,734.5625,8,3,1,2018
275.8788000488281,26.0,50.0,0.025000000415001,60.00597199249268,0.4,685.5625,269852.0,15.933333333333334,25.0,5.0,4.0,26.0,38.0,739.5,9,3,1,2018
275.8788000488281,37.0,50.0,0.025000000415001,60.00597199249268,0.4,685.5625,269852.0,14.5,19.0,4.0,4.0,37.0,45.0,739.5,10,3,1,2018
275.8788000488281,50.0,50.0,0.025000000415001,60.00597199249268,0.4,685.5625,269852.0,13.2,17.0,6.0,5.0,50.0,48.0,739.5,11,3,1,2018
275.86759979248046,46.0,50.0,0.0250000005150008,60.00417999267578,0.4,685.0,269852.0,11.933333333333334,15.0,7.0,5.0,46.0,51.0,739.1875,12,3,1,2018
275.86759979248046,35.0,50.0,0.0250000005150008,60.00417999267578,0.4,685.0,269852.0,10.4,14.0,5.0,5.0,35.0,52.0,739.1875,13,3,1,2018
275.86759979248046,36.0,50.0,0.0250000005150008,60.00417999267578,0.4,685.0,269852.0,8.633333333333333,14.0,6.0,4.0,36.0,54.0,739.1875,14,3,1,2018
275.8651998901367,36.0,50.0,0.0250000004840008,60.01029179229736,0.3,685.0,269852.0,7.135000000000001,17.0,7.0,4.0,36.0,52.0,738.875,15,3,1,2018
