temp,PM10,prec,shum,wind,CO,srad,pres,Mean,NO2,PM2.5,SO2,AQI,O3,lrad,Hour,Day,Month,Year
275.82070007324216,147.0,50.0,0.0250000010090004,60.00339599609375,1.6,694.9375,267964.0,82.0,92.0,82.0,15.0,109.0,2.0,734.25,0,1,1,2018
275.82070007324216,139.0,50.0,0.0250000010090004,60.00339599609375,1.8,694.9375,267964.0,78.5,93.0,75.0,14.0,100.0,2.0,734.25,1,1,1,2018
275.82070007324216,107.0,50.0,0.0250000010090004,60.00339599609375,1.5,694.9375,267964.0,70.33333333333333,77.0,54.0,9.0,79.0,2.0,734.25,2,1,1,2018
275.8867999267578,69.0,50.0,0.0250000007780008,60.0054279937744,1.1,779.75,268200.0,61.5,68.0,35.0,7.0,60.0,2.0,736.6875,3,1,1,2018
275.8867999267578,51.0,50.0,0.0250000007780008,60.0054279937744,0.9,779.75,268200.0,55.4,64.0,31.0,6.0,51.0,2.0,736.6875,4,1,1,2018
275.8867999267578,53.0,50.0,0.0250000007780008,60.0054279937744,0.9,779.75,268200.0,50.0,62.0,23.0,5.0,52.0,2.0,736.6875,5,1,1,2018
275.9094998168945,39.0,50.0,0.0250000007920004,60.0035239944458,0.7,771.5,267780.0,45.57142857142857,53.0,19.0,4.0,39.0,3.0,738.5,6,1,1,2018
275.9094998168945,31.0,50.0,0.0250000007920004,60.0035239944458,0.6,771.5,267780.0,41.625,45.0,14.0,3.0,31.0,8.0,738.5,7,1,1,2018
275.9094998168945,28.0,50.0,0.0250000007920004,60.0035239944458,0.6,771.5,267780.0,38.44444444444444,45.0,13.0,3.0,28.0,9.0,738.5,8,1,1,2018
275.89369995117187,29.0,50.0,0.0250000010200012,60.0035239944458,0.5,685.5,268000.0,35.7,33.0,11.0,5.0,29.0,21.0,739.9375,9,1,1,2018
275.89369995117187,17.0,50.0,0.0250000010200012,60.0035239944458,0.5,685.5,268000.0,33.0,27.0,6.0,6.0,20.0,30.0,739.9375,10,1,1,2018
275.89369995117187,16.0,50.0,0.0250000010200012,60.0035239944458,0.5,685.5,268000.0,31.416666666666668,26.0,14.0,6.0,20.0,33.0,739.9375,11,1,1,2018
275.856900024414,23.0,50.0,0.025000001294,60.00149999237061,0.4,685.0,268252.0,29.923076923076923,23.0,12.0,5.0,20.0,41.0,737.625,12,1,1,2018
275.856900024414,30.0,50.0,0.025000001294,60.00149999237061,0.5,685.0,268252.0,28.928571428571427,25.0,16.0,8.0,23.0,45.0,737.625,13,1,1,2018
275.856900024414,37.0,50.0,0.025000001294,60.00149999237061,0.6,685.0,268252.0,28.53333333333333,31.0,23.0,11.0,37.0,40.0,737.625,14,1,1,2018
275.8529998779297,54.0,50.0,0.0250000016520004,60.00158399200439,0.7,685.0,268468.0,28.4375,33.0,27.0,11.0,52.0,38.0,738.0625,15,1,1,2018
275.8529998779297,68.0,50.0,0.0250000016520004,60.00158399200439,0.9,685.0,268468.0,28.94117647058824,44.0,37.0,11.0,59.0,31.0,738.0625,16,1,1,2018
275.8529998779297,84.0,50.0,0.0250000016520004,60.00158399200439,1.6,685.0,268468.0,30.11111111111111,61.0,50.0,17.0,69.0,14.0,738.0625,17,1,1,2018
275.82389984130856,112.0,50.0,0.0250000016029998,60.00165999603272,2.0,685.0,268604.0,31.894736842105264,82.0,64.0,20.0,86.0,2.0,735.75,18,1,1,2018
275.82389984130856,137.0,50.0,0.0250000016029998,60.00165999603272,2.0,685.0,268604.0,33.85,83.0,71.0,20.0,95.0,2.0,735.75,19,1,1,2018
275.82389984130856,140.0,50.0,0.0250000016029998,60.00165999603272,2.0,685.0,268604.0,35.333333333333336,78.0,65.0,20.0,95.0,2.0,735.75,20,1,1,2018
275.81669982910154,131.0,50.0,0.0250000016130004,60.00156799316406,2.0,685.0,268980.0,36.5,70.0,61.0,20.0,91.0,2.0,734.4375,21,1,1,2018
275.81669982910154,116.0,50.0,0.0250000016130004,60.00156799316406,1.2,685.0,268980.0,37.26086956521739,55.0,54.0,13.0,83.0,9.0,734.4375,22,1,1,2018
275.81669982910154,66.0,50.0,0.0250000016130004,60.00156799316406,0.7,685.0,268980.0,37.458333333333336,45.0,42.0,7.0,59.0,13.0,734.4375,23,1,1,2018
275.8304998779296,66.0,50.0,0.0250000017610006,60.00237999725342,0.8,695.5,269504.0,37.44,49.0,37.0,7.0,58.0,10.0,739.8125,0,2,1,2018
275.8304998779296,56.0,50.0,0.0250000017610006,60.00237999725342,0.8,695.5,269504.0,37.38461538461539,53.0,36.0,6.0,53.0,4.0,739.8125,1,2,1,2018
275.8304998779296,52.0,50.0,0.0250000017610006,60.00237999725342,0.9,695.5,269504.0,37.44444444444444,49.0,39.0,7.0,55.0,8.0,739.8125,2,2,1,2018
275.88399993896485,65.0,50.0,0.0250000008480008,60.00975999450686,1.2,779.4375,269544.0,37.67857142857143,62.0,44.0,9.0,61.0,2.0,736.75,3,2,1,2018
275.88399993896485,96.0,50.0,0.0250000008480008,60.00975999450686,1.5,779.4375,269544.0,39.03448275862069,63.0,77.0,14.0,103.0,2.0,736.75,4,2,1,2018
275.88399993896485,64.0,50.0,0.0250000008480008,60.00975999450686,1.7,779.4375,269544.0,39.3,61.0,47.0,16.0,65.0,2.0,736.75,5,2,1,2018
275.9063000488281,77.0,50.0,0.0250000008930005,60.00677599334717,1.8,741.4375,269324.0,38.266666666666666,70.0,51.0,15.0,70.0,2.0,748.375,6,2,1,2018
275.9063000488281,90.0,50.0,0.0250000008930005,60.00677599334717,1.9,741.4375,269324.0,37.73333333333333,67.0,59.0,14.0,80.0,2.0,748.375,7,2,1,2018
275.9063000488281,78.0,50.0,0.0250000008930005,60.00677599334717,1.7,741.4375,269324.0,37.56666666666667,61.0,49.0,13.0,68.0,2.0,748.375,8,2,1,2018
275.8980999755859,68.0,50.0,0.025000000748001,60.00855999755859,1.5,685.5,269456.0,37.8,58.0,42.0,13.0,59.0,2.0,743.5625,9,2,1,2018
275.8980999755859,47.0,50.0,0.025000000748001,60.00855999755859,1.1,685.5,269456.0,37.7,47.0,28.0,9.0,47.0,11.0,743.5625,10,2,1,2018
