temp,PM10,prec,shum,wind,CO,srad,pres,Mean,NO2,PM2.5,SO2,AQI,O3,lrad,Hour,Day,Month,Year
275.82829986572256,152.0,50.0,0.0250000010860003,60.00415199279785,2.0,694.5625,268340.0,91.0,78.0,91.0,5.0,120.0,2.0,735.75,0,1,1,2018
275.82829986572256,153.0,50.0,0.0250000010860003,60.00415199279785,2.0,694.5625,268340.0,84.5,77.0,78.0,5.0,104.0,2.0,735.75,1,1,1,2018
275.82829986572256,144.0,50.0,0.0250000010860003,60.00415199279785,2.1,694.5625,268340.0,79.66666666666667,87.0,70.0,6.0,97.0,2.0,735.75,2,1,1,2018
275.892200012207,113.0,50.0,0.0250000008749999,60.00615999603272,2.0,778.3125,268380.0,76.25,83.0,66.0,7.0,89.0,2.0,737.9375,3,1,1,2018
275.892200012207,80.0,50.0,0.0250000008749999,60.00615999603272,1.7,778.3125,268380.0,70.6,72.0,48.0,6.0,66.0,2.0,737.9375,4,1,1,2018
275.892200012207,58.0,50.0,0.0250000008749999,60.00615999603272,1.4,778.3125,268380.0,64.66666666666667,65.0,35.0,5.0,54.0,2.0,737.9375,5,1,1,2018
275.911600036621,49.0,50.0,0.0250000008969996,60.0042199935913,1.3,768.3125,267992.0,59.57142857142857,63.0,29.0,4.0,49.0,2.0,740.125,6,1,1,2018
275.911600036621,44.0,50.0,0.0250000008969996,60.0042199935913,1.2,768.3125,267992.0,55.125,60.0,24.0,4.0,44.0,2.0,740.125,7,1,1,2018
275.911600036621,34.0,50.0,0.0250000008969996,60.0042199935913,1.1,768.3125,267992.0,50.77777777777778,58.0,16.0,3.0,34.0,2.0,740.125,8,1,1,2018
275.89690002441404,35.0,50.0,0.0250000011190008,60.00416799163818,1.2,685.5,268152.0,47.5,54.0,18.0,3.0,35.0,5.0,741.25,9,1,1,2018
275.89690002441404,39.0,50.0,0.0250000011190008,60.00416799163818,1.1,685.5,268152.0,44.81818181818182,45.0,18.0,3.0,39.0,13.0,741.25,10,1,1,2018
275.89690002441404,31.0,50.0,0.0250000011190008,60.00416799163818,1.1,685.5,268152.0,42.25,34.0,14.0,4.0,31.0,26.0,741.25,11,1,1,2018
275.86259979248047,39.0,50.0,0.0250000014120005,60.00215999603272,1.3,685.0,268448.0,40.30769230769231,33.0,17.0,7.0,39.0,31.0,739.125,12,1,1,2018
275.86259979248047,56.0,50.0,0.0250000014120005,60.00215999603272,1.4,685.0,268448.0,39.35714285714285,39.0,27.0,11.0,53.0,28.0,739.125,13,1,1,2018
275.86259979248047,62.0,50.0,0.0250000014120005,60.00215999603272,1.6,685.0,268448.0,39.0,39.0,34.0,12.0,56.0,29.0,739.125,14,1,1,2018
275.86079986572264,77.0,50.0,0.0250000019810013,60.00213999176025,1.7,685.0,268612.0,39.125,43.0,41.0,13.0,64.0,27.0,740.0,15,1,1,2018
275.86079986572264,85.0,50.0,0.0250000019810013,60.00213999176025,2.2,685.0,268612.0,39.8235294117647,53.0,51.0,17.0,70.0,21.0,740.0,16,1,1,2018
275.86079986572264,112.0,50.0,0.0250000019810013,60.00213999176025,2.3,685.0,268612.0,41.333333333333336,70.0,67.0,18.0,90.0,8.0,740.0,17,1,1,2018
275.8335998535156,148.0,50.0,0.0250000018700007,60.00212399291992,2.3,685.0,269012.0,43.42105263157895,82.0,81.0,18.0,108.0,2.0,737.625,18,1,1,2018
275.8335998535156,155.0,50.0,0.0250000018700007,60.00212399291992,2.3,685.0,269012.0,45.25,83.0,80.0,18.0,106.0,2.0,737.625,19,1,1,2018
275.8335998535156,154.0,50.0,0.0250000018700007,60.00212399291992,2.3,685.0,269012.0,46.66666666666666,79.0,75.0,18.0,102.0,2.0,737.625,20,1,1,2018
275.82119995117193,155.0,50.0,0.0250000017000008,60.00211599731446,2.3,685.0,269144.0,48.04545454545455,76.0,77.0,14.0,103.0,2.0,735.8125,21,1,1,2018
275.82119995117193,138.0,50.0,0.0250000017000008,60.00211599731446,2.2,685.0,269144.0,48.95652173913044,66.0,69.0,6.0,94.0,2.0,735.8125,22,1,1,2018
275.82119995117193,108.0,50.0,0.0250000017000008,60.00211599731446,1.7,685.0,269144.0,49.41666666666666,60.0,60.0,3.0,81.0,2.0,735.8125,23,1,1,2018
275.8330999755859,71.0,50.0,0.0250000017870012,60.001983993530274,1.4,696.3125,269660.0,49.24,56.0,45.0,3.0,63.0,2.0,740.8125,0,2,1,2018
275.8330999755859,58.0,50.0,0.0250000017870012,60.001983993530274,1.2,696.3125,269660.0,48.76923076923077,55.0,37.0,2.0,54.0,2.0,740.8125,1,2,1,2018
275.8330999755859,51.0,50.0,0.0250000017870012,60.001983993530274,1.1,696.3125,269660.0,48.2962962962963,53.0,36.0,2.0,51.0,2.0,740.8125,2,2,1,2018
275.88139984130856,77.0,50.0,0.0250000008760001,60.008547996521,1.3,780.1875,269792.0,48.07142857142857,58.0,42.0,3.0,64.0,2.0,736.625,3,2,1,2018
275.88139984130856,62.0,50.0,0.0250000008760001,60.008547996521,1.7,780.1875,269792.0,48.0,58.0,46.0,3.0,64.0,2.0,736.625,4,2,1,2018
275.88139984130856,55.0,50.0,0.0250000008760001,60.008547996521,1.9,780.1875,269792.0,47.8,58.0,42.0,4.0,59.0,2.0,736.625,5,2,1,2018
275.9057000732421,53.0,50.0,0.0250000009170007,60.00583199310303,2.0,734.9375,269560.0,46.03333333333333,61.0,38.0,5.0,54.0,2.0,750.625,6,2,1,2018
275.9057000732421,54.0,50.0,0.0250000009170007,60.00583199310303,2.0,734.9375,269560.0,44.7,63.0,38.0,6.0,54.0,2.0,750.625,7,2,1,2018
275.9057000732421,63.0,50.0,0.0250000009170007,60.00583199310303,2.2,734.9375,269560.0,43.63333333333333,67.0,38.0,7.0,57.0,2.0,750.625,8,2,1,2018
275.9013998413085,76.0,50.0,0.0250000008429996,60.0077439956665,2.3,685.5,269636.0,42.93333333333333,69.0,45.0,10.0,63.0,2.0,744.9375,9,2,1,2018
275.9013998413085,100.0,50.0,0.0250000008429996,60.0077439956665,2.3,685.5,269636.0,43.23333333333333,72.0,57.0,15.0,78.0,5.0,744.9375,10,2,1,2018
275.9013998413085,99.0,50.0,0.0250000008429996,60.0077439956665,2.2,685.5,269636.0,44.0,61.0,58.0,18.0,79.0,11.0,744.9375,11,2,1,2018
275.892200012207,44.0,50.0,0.0250000007020011,60.00380799102784,1.5,685.0,269792.0,44.266666666666666,41.0,37.0,10.0,53.0,24.0,743.8125,12,2,1,2018
275.892200012207,31.0,50.0,0.0250000007020011,60.00380799102784,1.1,685.0,269792.0,44.1,28.0,19.0,7.0,31.0,36.0,743.8125,13,2,1,2018
275.892200012207,39.0,50.0,0.0250000007020011,60.00380799102784,1.2,685.0,269792.0,44.2,33.0,19.0,7.0,39.0,35.0,743.8125,14,2,1,2018
275.8716000366211,44.0,50.0,0.0250000006070006,60.00588799285889,1.1,685.0,269792.0,44.3,30.0,21.0,5.0,44.0,37.0,741.8125,15,2,1,2018
275.8716000366211,46.0,50.0,0.0250000006070006,60.00588799285889,1.0,685.0,269792.0,44.1,28.0,12.0,5.0,46.0,39.0,741.8125,16,2,1,2018
275.8716000366211,36.0,50.0,0.0250000006070006,60.00588799285889,0.9,685.0,269792.0,43.8,32.0,5.0,3.0,36.0,35.0,741.8125,17,2,1,2018
275.85699981689453,36.0,50.0,0.0250000006220005,60.00807999420166,0.9,685.0,269792.0,43.56666666666667,40.0,10.0,3.0,36.0,26.0,740.6875,18,2,1,2018
275.85699981689453,39.0,50.0,0.0250000006220005,60.00807999420166,1.0,685.0,269792.0,42.93333333333333,56.0,8.0,3.0,39.0,12.0,740.6875,19,2,1,2018
275.85699981689453,39.0,50.0,0.0250000006220005,60.00807999420166,1.0,685.0,269792.0,42.333333333333336,59.0,16.0,3.0,39.0,8.0,740.6875,20,2,1,2018
275.84600006103506,42.0,50.0,0.025000000655001,60.00401199340821,1.0,685.0,269792.0,41.36666666666667,36.0,12.0,3.0,42.0,28.0,739.8125,21,2,1,2018
275.84600006103506,46.0,50.0,0.025000000655001,60.00401199340821,0.9,685.0,269792.0,39.766666666666666,23.0,4.0,2.0,46.0,42.0,739.8125,22,2,1,2018
275.84600006103506,53.0,50.0,0.025000000655001,60.00401199340821,0.9,685.0,269792.0,37.73333333333333,19.0,6.0,2.0,52.0,46.0,739.8125,23,2,1,2018
275.8448999023437,42.0,50.0,0.0250000004700012,60.004031997680656,0.8,693.4375,269792.0,35.233333333333334,16.0,6.0,2.0,42.0,47.0,736.9375,0,3,1,2018
275.8448999023437,26.0,50.0,0.0250000004700012,60.004031997680656,0.8,693.4375,269792.0,32.86666666666667,22.0,9.0,2.0,26.0,40.0,736.9375,1,3,1,2018
275.8448999023437,27.0,50.0,0.0250000004700012,60.004031997680656,0.8,693.4375,269792.0,30.466666666666665,27.0,4.0,3.0,27.0,34.0,736.9375,2,3,1,2018
275.8626998901367,25.0,50.0,0.0250000004590004,60.00805599212647,0.8,768.25,269792.0,28.03333333333333,14.0,4.0,3.0,25.0,46.0,738.125,3,3,1,2018
275.8626998901367,18.0,50.0,0.0250000004590004,60.00805599212647,0.8,768.25,269792.0,25.866666666666667,14.0,4.0,3.0,22.0,46.0,738.125,4,3,1,2018
275.8626998901367,18.0,50.0,0.0250000004590004,60.00805599212647,0.8,768.25,269792.0,24.03333333333333,15.0,5.0,3.0,22.0,44.0,738.125,5,3,1,2018
275.8760998535156,18.0,50.0,0.0250000004590004,60.01004399108886,0.9,775.8125,269792.0,22.866666666666667,28.0,10.0,3.0,22.0,31.0,734.6875,6,3,1,2018
275.8760998535156,20.0,50.0,0.0250000004590004,60.01004399108886,0.9,775.8125,269792.0,22.0,24.0,11.0,3.0,22.0,36.0,734.6875,7,3,1,2018
275.8760998535156,21.0,50.0,0.0250000004590004,60.01004399108886,0.9,775.8125,269792.0,20.966666666666665,35.0,5.0,2.0,22.0,26.0,734.6875,8,3,1,2018
275.8789999389648,27.0,50.0,0.0250000004590004,60.00583999633789,0.9,685.5625,269792.0,19.83333333333333,28.0,8.0,2.0,27.0,34.0,739.375,9,3,1,2018
275.8789999389648,26.0,50.0,0.0250000004590004,60.00583999633789,0.9,685.5625,269792.0,18.5,23.0,6.0,2.0,26.0,40.0,739.375,10,3,1,2018
275.8789999389648,23.0,50.0,0.0250000004590004,60.00583999633789,0.9,685.5625,269792.0,17.466666666666665,18.0,11.0,2.0,23.0,46.0,739.375,11,3,1,2018
275.8689999389648,31.0,50.0,0.0250000004810001,60.003715995788575,0.9,685.0,269792.0,16.533333333333335,16.0,10.0,4.0,31.0,47.0,738.875,12,3,1,2018
275.8689999389648,38.0,50.0,0.0250000004810001,60.003715995788575,0.9,685.0,269792.0,15.7,16.0,13.0,3.0,38.0,48.0,738.875,13,3,1,2018
275.8689999389648,35.0,50.0,0.0250000004810001,60.003715995788575,0.9,685.0,269792.0,14.733333333333333,19.0,9.0,3.0,35.0,48.0,738.875,14,3,1,2018
275.8664999389648,30.0,50.0,0.0250000004620011,60.01009179534912,0.8,685.0,269792.0,13.733333333333333,17.0,15.0,3.0,30.0,50.0,738.5625,15,3,1,2018
275.8664999389648,26.0,50.0,0.0250000004620011,60.01009179534912,0.9,685.0,269792.0,12.233333333333333,20.0,12.0,2.0,26.0,47.0,738.5625,16,3,1,2018
275.8664999389648,26.0,50.0,0.0250000004620011,60.01009179534912,0.9,685.0,269792.0,10.6,31.0,9.0,2.0,26.0,36.0,738.5625,17,3,1,2018
275.8435998535156,34.0,50.0,0.0250000006830003,60.00602799224853,1.0,685.0,269792.0,9.7,46.0,10.0,3.0,34.0,20.0,737.4375,18,3,1,2018
275.8435998535156,72.0,50.0,0.0250000006830003,60.00602799224853,1.1,685.0,269792.0,9.766666666666667,64.0,21.0,3.0,61.0,4.0,737.4375,19,3,1,2018
275.8435998535156,92.0,50.0,0.0250000006830003,60.00602799224853,1.3,685.0,269792.0,10.366666666666667,73.0,37.0,5.0,71.0,2.0,737.4375,20,3,1,2018
275.8323999023437,61.0,50.0,0.0250000006959997,60.00983199310303,1.2,685.0,269792.0,10.833333333333334,63.0,35.0,4.0,56.0,6.0,736.625,21,3,1,2018
275.8323999023437,32.0,50.0,0.0250000006959997,60.00983199310303,1.0,685.0,269792.0,10.866666666666667,42.0,13.0,5.0,32.0,18.0,736.625,22,3,1,2018
275.8323999023437,33.0,50.0,0.0250000006959997,60.00983199310303,1.0,685.0,269792.0,11.1,36.0,12.0,7.0,33.0,23.0,736.625,23,3,1,2018
275.83,39.0,50.0,0.0250000007090009,60.003987991333005,1.0,688.25,269792.0,11.233333333333333,32.0,14.0,6.0,39.0,27.0,751.6875,0,4,1,2018
275.83,34.0,50.0,0.0250000007090009,60.003987991333005,1.0,688.25,269792.0,11.433333333333334,42.0,14.0,5.0,34.0,17.0,751.6875,1,4,1,2018
275.83,30.0,50.0,0.0250000007090009,60.003987991333005,0.9,688.25,269792.0,11.466666666666669,32.0,17.0,5.0,30.0,25.0,751.6875,2,4,1,2018
275.8463000488281,26.0,50.0,0.0250000007119998,60.007903991699216,0.9,711.1875,269700.0,11.433333333333334,30.0,11.0,4.0,26.0,30.0,752.8125,3,4,1,2018
275.8463000488281,21.0,50.0,0.0250000007119998,60.007903991699216,0.9,711.1875,269700.0,11.7,31.0,11.0,3.0,22.0,24.0,752.8125,4,4,1,2018
275.8463000488281,18.0,50.0,0.0250000007119998,60.007903991699216,0.9,711.1875,269700.0,11.766666666666667,26.0,8.0,3.0,22.0,29.0,752.8125,5,4,1,2018
275.86089996337887,23.0,50.0,0.0250000006930008,60.0040359954834,0.9,708.4375,269180.0,11.866666666666667,29.0,9.0,2.0,23.0,29.0,754.5,6,4,1,2018
275.86089996337887,23.0,50.0,0.0250000006930008,60.0040359954834,0.9,708.4375,269180.0,11.833333333333334,33.0,8.0,2.0,23.0,27.0,754.5,7,4,1,2018
275.86089996337887,25.0,50.0,0.0250000006930008,60.0040359954834,0.9,708.4375,269180.0,12.033333333333331,40.0,9.0,2.0,25.0,20.0,754.5,8,4,1,2018
275.85910003662104,32.0,50.0,0.0250000007210001,60.00193999481201,1.0,685.5625,268952.0,12.166666666666666,36.0,8.0,4.0,32.0,23.0,754.625,9,4,1,2018
275.85910003662104,35.0,50.0,0.0250000007210001,60.00193999481201,1.0,685.5625,268952.0,12.5,33.0,14.0,5.0,35.0,27.0,754.625,10,4,1,2018
275.85910003662104,33.0,50.0,0.0250000007210001,60.00193999481201,1.0,685.5625,268952.0,12.833333333333334,29.0,15.0,5.0,33.0,32.0,754.625,11,4,1,2018
275.8513000488281,29.0,50.0,0.0250000008330009,60.00384799194336,1.0,685.0,268820.0,13.0,31.5,15.0,4.5,29.0,31.5,753.9375,12,4,1,2018
275.8513000488281,25.0,50.0,0.0250000008330009,60.00384799194336,1.0,685.0,268820.0,13.133333333333333,34.0,15.0,4.0,25.0,31.0,753.9375,13,4,1,2018
275.8513000488281,29.0,50.0,0.0250000008330009,60.00384799194336,1.0,685.0,268820.0,13.4,34.0,13.0,4.0,29.0,33.0,753.9375,14,4,1,2018
275.84619995117185,29.0,50.0,0.0250000008920002,60.00389999389648,1.0,685.0,268808.0,13.566666666666666,37.0,13.0,4.0,29.0,29.0,753.4375,15,4,1,2018
275.84619995117185,37.0,50.0,0.0250000008920002,60.00389999389648,1.0,685.0,268808.0,13.933333333333334,38.0,17.0,4.0,37.0,28.0,753.4375,16,4,1,2018
275.84619995117185,42.0,50.0,0.0250000008920002,60.00389999389648,1.1,685.0,268808.0,14.133333333333333,47.0,17.0,4.0,42.0,18.0,753.4375,17,4,1,2018
275.83410003662107,71.0,50.0,0.0250000009289998,60.00203199768068,1.1,685.0,268428.0,14.533333333333331,57.0,22.0,4.0,61.0,7.0,752.25,18,4,1,2018
275.83410003662107,62.0,50.0,0.0250000009289998,60.00203199768068,1.1,685.0,268428.0,14.633333333333333,62.0,16.0,3.0,56.0,3.0,752.25,19,4,1,2018
275.83410003662107,56.0,50.0,0.0250000009289998,60.00203199768068,1.2,685.0,268428.0,14.933333333333334,59.0,18.0,4.0,53.0,4.0,752.25,20,4,1,2018
275.82119995117193,68.0,50.0,0.025000000996001,60.00201999664306,1.3,685.0,268244.0,15.5,63.0,32.0,5.0,59.0,2.0,749.125,21,4,1,2018
275.82119995117193,81.0,50.0,0.025000000996001,60.00201999664306,1.4,685.0,268244.0,16.266666666666666,62.0,35.0,5.0,66.0,2.0,749.125,22,4,1,2018
275.82119995117193,85.0,50.0,0.025000000996001,60.00201999664306,1.5,685.0,268244.0,17.466666666666665,62.0,45.0,6.0,68.0,2.0,749.125,23,4,1,2018
275.82119995117193,100.0,50.0,0.0250000008920002,60.00185999298096,1.6,695.5625,268244.0,18.9,64.0,53.0,7.0,75.0,2.0,733.6875,0,5,1,2018
275.82119995117193,137.0,50.0,0.0250000008920002,60.00185999298096,1.8,695.5625,268244.0,20.2,66.0,60.0,10.0,94.0,2.0,733.6875,1,5,1,2018
275.82119995117193,147.0,50.0,0.0250000008920002,60.00185999298096,1.8,695.5625,268244.0,21.2,68.0,67.0,11.0,99.0,2.0,733.6875,2,5,1,2018
275.88100006103514,219.5,50.0,0.025000000841001,60.00383199310303,2.0,781.375,268268.0,22.566666666666663,70.0,76.0,9.0,101.0,2.0,736.4375,3,5,1,2018
275.88100006103514,242.98617021276564,50.0,0.025000000841001,60.00383199310303,2.3,781.375,268268.0,24.633333333333333,73.0,75.0,7.0,171.0,2.0,736.4375,4,5,1,2018
275.88100006103514,169.0,50.0,0.025000000841001,60.00383199310303,2.1,781.375,268268.0,26.2,67.0,59.0,5.0,110.0,2.0,736.4375,5,5,1,2018
275.90619995117186,135.0,50.0,0.0250000007720012,60.00591599273682,2.0,771.5,267748.0,27.433333333333334,68.0,51.0,5.0,93.0,2.0,739.25,6,5,1,2018
275.90619995117186,138.0,50.0,0.0250000007720012,60.00591599273682,2.0,771.5,267748.0,28.633333333333333,64.0,50.0,4.0,94.0,2.0,739.25,7,5,1,2018
275.90619995117186,112.0,50.0,0.0250000007720012,60.00591599273682,2.2,771.5,267748.0,29.766666666666666,69.0,51.0,4.0,81.0,2.0,739.25,8,5,1,2018
275.8925,108.0,50.0,0.0250000008340012,60.00378399658203,2.3,685.5625,267828.0,31.03333333333333,67.0,49.0,6.0,79.0,2.0,739.8125,9,5,1,2018
275.8925,118.0,50.0,0.0250000008340012,60.00378399658203,2.2,685.5625,267828.0,32.36666666666667,66.0,51.0,9.0,84.0,3.0,739.8125,10,5,1,2018
275.8925,77.0,50.0,0.0250000008340012,60.00378399658203,1.7,685.5625,267828.0,33.3,64.0,36.0,10.0,64.0,9.0,739.8125,11,5,1,2018
275.8530999755859,52.0,50.0,0.0250000011030007,60.00185999298096,1.0,685.0,268124.0,33.96666666666667,54.0,29.0,9.0,51.0,17.0,737.375,12,5,1,2018
275.8530999755859,57.0,50.0,0.0250000011030007,60.00185999298096,1.0,685.0,268124.0,34.86666666666667,60.0,35.0,9.0,54.0,17.0,737.375,13,5,1,2018
275.8530999755859,54.0,50.0,0.0250000011030007,60.00185999298096,1.0,685.0,268124.0,35.666666666666664,56.0,33.0,8.0,52.0,21.0,737.375,14,5,1,2018
275.8338000488281,55.0,50.0,0.0250000012430008,60.0038039932251,0.8,685.0,268248.0,36.46666666666667,48.0,32.0,7.0,53.0,26.0,736.25,15,5,1,2018
275.8338000488281,59.0,50.0,0.0250000012430008,60.0038039932251,0.8,685.0,268248.0,36.96666666666667,51.0,29.0,7.0,55.0,22.0,736.25,16,5,1,2018
275.8338000488281,66.0,50.0,0.0250000012430008,60.0038039932251,0.7,685.0,268248.0,37.6,55.0,34.0,6.0,58.0,18.0,736.25,17,5,1,2018
275.8517999267578,88.0,50.0,0.0250000008160006,60.00591999816896,0.9,685.0,268356.0,38.8,68.0,51.0,7.0,70.0,8.0,736.625,18,5,1,2018
275.8517999267578,141.0,50.0,0.0250000008160006,60.00591999816896,1.3,685.0,268356.0,41.53333333333333,79.0,97.0,13.0,128.0,5.0,736.625,19,5,1,2018
275.8517999267578,196.0,50.0,0.0250000008160006,60.00591999816896,1.8,685.0,268356.0,46.0,92.0,147.0,14.0,196.0,2.0,736.625,20,5,1,2018
275.83600006103507,224.0,50.0,0.0250000008000005,60.0039999923706,2.0,685.0,268392.0,51.36666666666667,99.0,158.0,12.0,213.0,2.0,735.375,21,5,1,2018
