temp,PM10,prec,shum,wind,CO,srad,pres,Mean,NO2,PM2.5,SO2,AQI,O3,lrad,Hour,Day,Month,Year
275.825,86.0,50.0,0.0250000010439995,60.00380799102784,1.3,694.875,268160.0,60.0,74.0,60.0,2.0,81.0,2.0,734.6875,0,1,1,2018
275.825,98.0,50.0,0.0250000010439995,60.00380799102784,1.7,694.875,268160.0,60.0,78.0,60.0,2.0,81.0,2.0,734.6875,1,1,1,2018
275.825,93.0,50.0,0.0250000010439995,60.00380799102784,1.7,694.875,268160.0,61.0,77.0,63.0,2.0,85.0,2.0,734.6875,2,1,1,2018
275.89,61.0,50.0,0.0250000008170008,60.00581999206543,1.1,780.0,268272.0,55.5,62.0,39.0,2.0,56.0,2.0,737.0625,3,1,1,2018
275.89,50.0,50.0,0.0250000008170008,60.00581999206543,1.0,780.0,268272.0,49.8,61.0,27.0,2.0,50.0,2.0,737.0625,4,1,1,2018
275.89,48.0,50.0,0.0250000008170008,60.00581999206543,1.0,780.0,268272.0,46.16666666666666,59.0,28.0,2.0,48.0,2.0,737.0625,5,1,1,2018
275.9105999755859,41.0,50.0,0.0250000008390005,60.00383599090576,0.9,771.6875,267872.0,42.71428571428572,57.0,22.0,2.0,41.0,2.0,738.6875,6,1,1,2018
275.9105999755859,44.0,50.0,0.0250000008390005,60.00383599090576,0.9,771.6875,267872.0,40.125,54.0,22.0,2.0,44.0,2.0,738.6875,7,1,1,2018
275.9105999755859,51.0,50.0,0.0250000008390005,60.00383599090576,0.8,771.6875,267872.0,37.77777777777778,52.0,19.0,2.0,51.0,2.0,738.6875,8,1,1,2018
275.89549987792964,20.0,50.0,0.0250000010700002,60.0037559967041,0.7,685.5,268064.0,34.9,48.0,9.0,2.0,24.0,9.0,740.25,9,1,1,2018
275.89549987792964,29.0,50.0,0.0250000010700002,60.0037559967041,0.6,685.5,268064.0,32.27272727272727,38.0,6.0,4.0,29.0,25.0,740.25,10,1,1,2018
275.89549987792964,40.0,50.0,0.0250000010700002,60.0037559967041,0.6,685.5,268064.0,30.666666666666668,37.0,13.0,5.0,40.0,29.0,740.25,11,1,1,2018
275.86,22.0,50.0,0.0250000013629999,60.00180799102783,0.6,685.0,268336.0,29.0,31.0,9.0,4.0,22.0,36.0,738.0625,12,1,1,2018
275.86,17.0,50.0,0.0250000013629999,60.00180799102783,0.5,685.0,268336.0,27.642857142857142,29.0,10.0,4.0,21.0,42.0,738.0625,13,1,1,2018
275.86,38.0,50.0,0.0250000013629999,60.00180799102783,0.7,685.0,268336.0,27.266666666666666,37.0,22.0,9.0,38.0,37.0,738.0625,14,1,1,2018
275.85759979248047,48.0,50.0,0.0250000018220003,60.00186399078369,0.9,685.0,268524.0,27.0,43.0,23.0,10.0,48.0,32.0,738.75,15,1,1,2018
275.85759979248047,83.0,50.0,0.0250000018220003,60.00186399078369,1.4,685.0,268524.0,27.94117647058824,53.0,43.0,13.0,67.0,25.0,738.75,16,1,1,2018
275.85759979248047,95.0,50.0,0.0250000018220003,60.00186399078369,2.0316666666666303,685.0,268524.0,29.444444444444443,71.0,55.0,15.0,75.0,10.0,738.75,17,1,1,2018
275.82910003662107,113.0,50.0,0.0250000017409995,60.00187999725342,2.0316666666666303,685.0,268816.0,31.36842105263158,77.0,66.0,15.0,89.0,2.0,736.375,18,1,1,2018
275.82910003662107,113.0,50.0,0.0250000017409995,60.00187999725342,2.0316666666666303,685.0,268816.0,33.05,73.0,65.0,10.0,88.0,2.0,736.375,19,1,1,2018
275.82910003662107,117.0,50.0,0.0250000017409995,60.00187999725342,2.0316666666666303,685.0,268816.0,34.904761904761905,72.0,72.0,7.0,96.0,2.0,736.375,20,1,1,2018
275.81940002441405,128.0,50.0,0.0250000016680006,60.00187199401857,1.9,685.0,269048.0,36.40909090909091,65.0,68.0,6.0,91.0,4.0,734.8125,21,1,1,2018
275.81940002441405,110.0,50.0,0.0250000016680006,60.00187199401857,1.4,685.0,269048.0,37.78260869565217,66.0,68.0,6.0,91.0,2.0,734.8125,22,1,1,2018
275.81940002441405,70.0,50.0,0.0250000016680006,60.00187199401857,0.7,685.0,269048.0,37.75,40.0,37.0,3.0,60.0,19.0,734.8125,23,1,1,2018
275.83209991455084,48.0,50.0,0.0250000017900001,60.00217599487305,0.6,696.0,269568.0,37.52,38.0,32.0,3.0,48.0,20.0,740.3125,0,2,1,2018
275.83209991455084,40.0,50.0,0.0250000017900001,60.00217599487305,0.6,696.0,269568.0,37.26923076923077,36.0,31.0,2.0,44.0,19.0,740.3125,1,2,1,2018
275.83209991455084,38.0,50.0,0.0250000017900001,60.00217599487305,0.6,696.0,269568.0,37.0,36.0,30.0,2.0,43.0,9.0,740.3125,2,2,1,2018
275.8826998901367,40.0,50.0,0.0250000008530002,60.00915999603272,0.7,779.875,269660.0,36.92857142857143,41.0,35.0,2.0,50.0,5.0,736.625,3,2,1,2018
275.8826998901367,36.0,50.0,0.0250000008530002,60.00915999603272,0.85,779.875,269660.0,36.741379310344826,43.0,31.5,2.0,45.0,4.0,736.625,4,2,1,2018
275.8826998901367,32.0,50.0,0.0250000008530002,60.00915999603272,1.0,779.875,269660.0,36.45,45.0,28.0,2.0,40.0,3.0,736.625,5,2,1,2018
275.90619995117186,41.0,50.0,0.025000000899,60.00629999542236,1.0,738.5625,269428.0,35.45,46.0,30.0,2.0,43.0,2.0,749.375,6,2,1,2018
275.90619995117186,60.0,50.0,0.025000000899,60.00629999542236,1.2,738.5625,269428.0,34.88333333333333,50.0,43.0,2.0,60.0,2.0,749.375,7,2,1,2018
275.90619995117186,88.0,50.0,0.025000000899,60.00629999542236,1.8,738.5625,269428.0,34.45,58.0,50.0,2.0,69.0,2.0,749.375,8,2,1,2018
275.9004000854492,90.0,50.0,0.0250000007910002,60.008251991271976,1.8,685.5,269528.0,34.88333333333333,58.0,52.0,2.0,71.0,2.0,744.25,9,2,1,2018
275.9004000854492,59.0,50.0,0.0250000007910002,60.008251991271976,1.4,685.5,269528.0,35.65,56.0,50.0,8.0,69.0,8.0,744.25,10,2,1,2018
275.9004000854492,37.0,50.0,0.0250000007910002,60.008251991271976,0.9,685.5,269528.0,35.68333333333333,40.0,29.0,8.0,41.0,24.0,744.25,11,2,1,2018
275.89139984130856,22.0,50.0,0.0250000006460007,60.0043039932251,0.6,685.0,269660.0,35.65,31.0,21.0,7.0,30.0,37.0,743.125,12,2,1,2018
275.89139984130856,39.0,50.0,0.0250000006460007,60.0043039932251,0.7,685.0,269660.0,35.78333333333333,31.0,26.0,9.0,39.0,39.0,743.125,13,2,1,2018
275.89139984130856,49.0,50.0,0.0250000006460007,60.0043039932251,0.6,685.0,269660.0,35.88333333333333,34.0,22.0,8.0,49.0,39.0,743.125,14,2,1,2018
275.8705999755859,41.0,50.0,0.0250000005670003,60.00613199615479,0.5,685.0,269660.0,36.05,29.0,14.0,7.0,41.0,45.0,741.125,15,2,1,2018
275.8705999755859,46.0,50.0,0.0250000005670003,60.00613199615479,0.4,685.0,269660.0,36.45,29.0,18.0,6.0,46.0,46.0,741.125,16,2,1,2018
275.8705999755859,45.0,50.0,0.0250000005670003,60.00613199615479,0.4,685.0,269660.0,36.28333333333333,27.0,8.0,5.0,45.0,47.0,741.125,17,2,1,2018
275.8554000854492,40.0,50.0,0.0250000006020013,60.007955993652345,0.4,685.0,269660.0,36.25,31.0,8.0,5.0,40.0,41.0,740.0,18,2,1,2018
275.8554000854492,45.0,50.0,0.0250000006020013,60.007955993652345,0.4,685.0,269660.0,36.25,34.0,10.0,5.0,45.0,37.0,740.0,19,2,1,2018
275.8554000854492,43.0,50.0,0.0250000006020013,60.007955993652345,0.4,685.0,269660.0,36.05,31.0,16.0,4.0,43.0,39.0,740.0,20,2,1,2018
275.8457998657226,39.0,50.0,0.0250000006590001,60.004067993164064,0.3,685.0,269660.0,35.55,24.0,8.0,3.0,39.0,50.0,739.375,21,2,1,2018
275.8457998657226,31.0,50.0,0.0250000006590001,60.004067993164064,0.3,685.0,269660.0,34.28333333333333,25.0,5.0,3.0,31.0,50.0,739.375,22,2,1,2018
275.8457998657226,42.0,50.0,0.0250000006590001,60.004067993164064,0.3,685.0,269660.0,32.65,23.0,6.0,3.0,42.0,51.0,739.375,23,2,1,2018
275.8430999755859,31.0,50.0,0.0250000010090004,60.00395199584961,0.3,693.5625,269660.0,30.55,20.0,3.0,3.0,31.0,52.0,737.8125,0,3,1,2018
275.8430999755859,19.0,50.0,0.0250000010090004,60.00395199584961,0.3,693.5625,269660.0,28.48333333333333,21.0,3.0,3.0,21.0,48.0,737.8125,1,3,1,2018
275.8430999755859,32.0,50.0,0.0250000010090004,60.00395199584961,0.3,693.5625,269660.0,26.183333333333334,24.0,3.0,4.0,32.0,44.0,737.8125,2,3,1,2018
275.8614999389648,34.0,50.0,0.0250000008129999,60.007843994140615,0.3,767.3125,269660.0,24.05,17.0,4.0,4.0,34.0,51.0,738.5625,3,3,1,2018
275.8614999389648,23.0,50.0,0.0250000008129999,60.007843994140615,0.3,767.3125,269660.0,21.98333333333333,23.0,6.0,5.0,23.0,44.0,738.5625,4,3,1,2018
275.8614999389648,18.0,50.0,0.0250000008129999,60.007843994140615,0.3,767.3125,269660.0,20.883333333333333,25.0,4.0,6.0,21.0,40.0,738.5625,5,3,1,2018
275.87589996337886,16.0,50.0,0.0250000008190013,60.00991959800722,0.4,772.375,269660.0,20.116666666666667,25.0,9.0,6.0,21.0,40.0,736.0,6,3,1,2018
275.87589996337886,27.0,50.0,0.0250000008190013,60.00991959800722,0.4,772.375,269660.0,19.58333333333333,29.0,15.0,6.0,27.0,36.0,736.0,7,3,1,2018
275.87589996337886,27.0,50.0,0.0250000008190013,60.00991959800722,0.5,772.375,269660.0,19.016666666666666,37.0,13.0,6.0,27.0,28.0,736.0,8,3,1,2018
275.8788000488281,29.0,50.0,0.0250000008560009,60.00607999420166,0.4,685.5,269660.0,18.25,30.0,12.0,4.0,29.0,36.0,740.25,9,3,1,2018
275.8788000488281,37.0,50.0,0.0250000008560009,60.00607999420166,0.4,685.5,269660.0,17.5,25.0,9.0,5.0,37.0,43.0,740.25,10,3,1,2018
275.8788000488281,48.0,50.0,0.0250000008560009,60.00607999420166,0.4,685.5,269660.0,16.966666666666665,20.0,12.0,5.0,48.0,49.0,740.25,11,3,1,2018
275.8691000366211,68.0,50.0,0.025000000798,60.00408799743652,0.3,685.0,269660.0,16.2,16.0,7.0,5.0,59.0,51.0,739.3125,12,3,1,2018
275.8691000366211,45.0,50.0,0.025000000798,60.00408799743652,0.4,685.0,269660.0,15.033333333333331,18.0,8.0,5.0,45.0,53.0,739.3125,13,3,1,2018
275.8691000366211,34.0,50.0,0.025000000798,60.00408799743652,0.3,685.0,269660.0,13.7,18.0,10.0,4.0,34.0,55.0,739.3125,14,3,1,2018
275.86549987792966,31.0,50.0,0.0250000008000005,60.00991959800722,0.3,685.0,269660.0,12.333333333333334,19.0,11.0,4.0,31.0,56.0,739.0625,15,3,1,2018
275.86549987792966,26.0,50.0,0.0250000008000005,60.00991959800722,0.3,685.0,269660.0,11.033333333333331,21.0,11.0,4.5,26.0,52.0,739.0625,16,3,1,2018
275.86549987792966,32.0,50.0,0.0250000008000005,60.00991959800722,0.4,685.0,269660.0,10.266666666666667,33.0,6.0,5.0,32.0,39.0,739.0625,17,3,1,2018
