temp,PM10,prec,shum,wind,CO,srad,pres,Mean,NO2,PM2.5,SO2,AQI,O3,lrad,Hour,Day,Month,Year
275.8229000854492,126.0,50.0,0.0250000009909998,60.00336799621582,1.4,694.6875,267776.0,63.0,75.0,63.0,13.0,88.0,3.0,734.4375,0,1,1,2018
275.8229000854492,77.0,50.0,0.0250000009909998,60.00336799621582,1.1,694.6875,267776.0,50.0,65.0,37.0,10.0,64.0,2.0,734.4375,1,1,1,2018
275.8229000854492,74.0,50.0,0.0250000009909998,60.00336799621582,1.2,694.6875,267776.0,47.0,67.0,41.0,10.0,62.0,2.0,734.4375,2,1,1,2018
275.8866998291016,83.0,50.0,0.0250000007700007,60.00544399261474,1.3,779.6875,267984.0,46.0,66.0,43.0,10.0,67.0,2.0,736.6875,3,1,1,2018
275.8866998291016,68.0,50.0,0.0250000007700007,60.00544399261474,1.1,779.6875,267984.0,43.4,64.0,33.0,9.0,59.0,2.0,736.6875,4,1,1,2018
275.8866998291016,69.0,50.0,0.0250000007700007,60.00544399261474,1.0,779.6875,267984.0,42.16666666666666,59.0,36.0,9.0,60.0,3.0,736.6875,5,1,1,2018
275.9091998291016,38.0,50.0,0.0250000007770005,60.003563995361326,0.7,771.75,267544.0,38.57142857142857,41.0,17.0,5.0,38.0,12.0,738.4375,6,1,1,2018
275.9091998291016,35.0,50.0,0.0250000007770005,60.003563995361326,0.7,771.75,267544.0,35.75,45.0,16.0,5.0,35.0,10.0,738.4375,7,1,1,2018
275.9091998291016,33.0,50.0,0.0250000007770005,60.003563995361326,0.6,771.75,267544.0,33.333333333333336,42.0,14.0,5.0,33.0,13.0,738.4375,8,1,1,2018
275.8944998168945,28.0,50.0,0.0250000010090004,60.003303993225096,0.5,685.5,267776.0,31.3,31.0,13.0,6.0,28.0,25.0,740.0,9,1,1,2018
275.8944998168945,29.0,50.0,0.0250000010090004,60.003303993225096,0.5,685.5,267776.0,29.363636363636363,26.0,10.0,6.0,29.0,32.0,740.0,10,1,1,2018
275.8944998168945,33.0,50.0,0.0250000010090004,60.003303993225096,0.5,685.5,267776.0,27.83333333333333,20.0,11.0,4.0,33.0,39.0,740.0,11,1,1,2018
275.8576998901367,17.0,50.0,0.0250000012849997,60.00143199157715,0.4,685.0,268020.0,26.53846153846154,15.0,11.0,4.0,20.0,46.0,737.6875,12,1,1,2018
275.8576998901367,16.0,50.0,0.0250000012849997,60.00143199157715,0.4,685.0,268020.0,25.428571428571427,12.0,11.0,4.0,20.0,52.0,737.6875,13,1,1,2018
275.8576998901367,19.0,50.0,0.0250000012849997,60.00143199157715,0.5,685.0,268020.0,24.666666666666668,19.0,14.0,5.0,20.0,49.0,737.6875,14,1,1,2018
275.8530999755859,26.0,50.0,0.025000001600001,60.00169599151612,0.5,685.0,268252.0,23.9375,28.0,13.0,7.0,26.0,44.0,738.0,15,1,1,2018
275.8530999755859,48.0,50.0,0.025000001600001,60.00169599151612,0.7,685.0,268252.0,23.647058823529413,31.0,19.0,10.0,48.0,39.0,738.0,16,1,1,2018
275.8530999755859,67.0,50.0,0.025000001600001,60.00169599151612,1.1,685.0,268252.0,24.33333333333333,52.0,36.0,13.0,59.0,22.0,738.0,17,1,1,2018
275.8241000366211,98.0,50.0,0.0250000015670005,60.00173999786377,1.9,685.0,268416.0,26.105263157894736,75.0,58.0,20.0,79.0,4.0,735.6875,18,1,1,2018
275.8241000366211,139.0,50.0,0.0250000015670005,60.00173999786377,1.9,685.0,268416.0,28.4,80.0,72.0,20.0,96.0,2.0,735.6875,19,1,1,2018
275.8241000366211,154.0,50.0,0.0250000015670005,60.00173999786377,1.9,685.0,268416.0,30.714285714285715,81.0,77.0,20.0,103.0,3.0,735.6875,20,1,1,2018
275.8160998535156,153.0,50.0,0.0250000016130004,60.001559997558594,1.9,685.0,268764.0,32.31818181818182,69.0,66.0,20.0,102.0,4.0,734.625,21,1,1,2018
275.8160998535156,130.0,50.0,0.0250000016130004,60.001559997558594,1.7,685.0,268764.0,33.391304347826086,63.0,57.0,20.0,90.0,3.0,734.625,22,1,1,2018
275.8160998535156,84.0,50.0,0.0250000016130004,60.001559997558594,0.8,685.0,268764.0,33.791666666666664,45.0,43.0,8.0,67.0,13.0,734.625,23,1,1,2018
275.83259979248044,58.0,50.0,0.0250000017409995,60.00286799621582,0.7,695.375,269292.0,33.68,40.0,31.0,6.0,54.0,17.0,740.0625,0,2,1,2018
275.83259979248044,55.0,50.0,0.0250000017409995,60.00286799621582,0.7,695.375,269292.0,33.57692307692308,41.0,31.0,5.0,53.0,14.0,740.0625,1,2,1,2018
275.83259979248044,53.0,50.0,0.0250000017409995,60.00286799621582,0.9,695.375,269292.0,33.592592592592595,54.0,34.0,5.0,52.0,4.0,740.0625,2,2,1,2018
275.8829000854492,67.0,50.0,0.0250000008429996,60.009802993392945,1.1,779.3125,269300.0,33.857142857142854,60.0,41.0,6.0,59.0,2.0,736.625,3,2,1,2018
275.8829000854492,83.0,50.0,0.0250000008429996,60.009802993392945,1.3,779.3125,269300.0,34.241379310344826,60.0,45.0,7.0,67.0,2.0,736.625,4,2,1,2018
275.8829000854492,96.0,50.0,0.0250000008429996,60.009802993392945,1.9,779.3125,269300.0,35.0,69.0,57.0,17.0,78.0,2.0,736.625,5,2,1,2018
275.904700012207,122.0,50.0,0.0250000008749999,60.007031997680656,1.9,740.875,269108.0,35.1,66.0,66.0,20.0,89.0,2.0,748.4375,6,2,1,2018
275.904700012207,94.0,50.0,0.0250000008749999,60.007031997680656,1.6,740.875,269108.0,35.53333333333333,57.0,50.0,14.0,72.0,2.0,748.4375,7,2,1,2018
275.904700012207,60.0,50.0,0.0250000008749999,60.007031997680656,1.1,740.875,269108.0,35.2,51.0,31.0,11.0,55.0,2.0,748.4375,8,2,1,2018
