temp,PM10,prec,shum,wind,CO,srad,pres,Mean,NO2,PM2.5,SO2,AQI,O3,lrad,Hour,Day,Month,Year
275.81959991455074,196.0,50.0,0.0250000012110006,60.0035839920044,2.4,694.4375,268532.0,153.0,90.0,153.0,10.0,203.0,3.0,736.375,0,1,1,2018
275.81959991455074,182.0,50.0,0.0250000012110006,60.0035839920044,2.2,694.4375,268532.0,155.0,89.0,157.0,9.0,207.0,3.0,736.375,1,1,1,2018
275.81959991455074,181.0,50.0,0.0250000012110006,60.0035839920044,2.4,694.4375,268532.0,151.33333333333334,86.0,144.0,8.0,191.0,3.0,736.375,2,1,1,2018
275.88959991455084,195.0,50.0,0.0250000010470002,60.00575199127197,2.3,772.8125,268700.0,151.0,83.0,150.0,7.0,200.0,3.0,739.625,3,1,1,2018
275.88959991455084,177.0,50.0,0.0250000010470002,60.00575199127197,2.2,772.8125,268700.0,150.4,81.0,148.0,10.0,197.0,3.0,739.625,4,1,1,2018
275.88959991455084,144.0,50.0,0.0250000010470002,60.00575199127197,2.2,772.8125,268700.0,144.83333333333334,74.0,117.0,10.0,153.0,3.0,739.625,5,1,1,2018
275.9108999633789,136.0,50.0,0.025000001077,60.00439999389648,2.05,763.1875,268324.0,138.64285714285714,70.0,101.5,8.0,133.5,2.5,741.875,6,1,1,2018
275.9108999633789,128.0,50.0,0.025000001077,60.00439999389648,1.9,763.1875,268324.0,132.0625,66.0,86.0,6.0,114.0,2.0,741.875,7,1,1,2018
275.9108999633789,118.0,50.0,0.025000001077,60.00439999389648,2.0,763.1875,268324.0,128.83333333333334,66.0,103.0,6.0,135.0,3.0,741.875,8,1,1,2018
275.8929000854492,141.0,50.0,0.0250000013690013,60.005487991333005,2.2,685.5,268476.0,126.85,64.0,109.0,6.0,143.0,4.0,742.625,9,1,1,2018
275.8929000854492,110.0,50.0,0.0250000013690013,60.005487991333005,1.8,685.5,268476.0,123.13636363636364,60.0,86.0,10.0,114.0,5.0,742.625,10,1,1,2018
275.8929000854492,92.0,50.0,0.0250000013690013,60.005487991333005,1.9,685.5,268476.0,117.875,54.0,60.0,17.0,81.0,14.0,742.625,11,1,1,2018
275.85910003662104,102.0,50.0,0.0250000013610012,60.002251991271976,2.4,685.0,268788.0,114.5,57.0,74.0,23.0,99.0,23.0,739.8125,12,1,1,2018
275.85910003662104,125.0,50.0,0.0250000013610012,60.002251991271976,2.4,685.0,268788.0,112.89285714285714,63.0,92.0,23.0,121.0,23.0,739.8125,13,1,1,2018
275.85910003662104,133.0,50.0,0.0250000013610012,60.002251991271976,2.4,685.0,268788.0,111.1,64.0,86.0,23.0,114.0,24.0,739.8125,14,1,1,2018
275.8545999145508,124.0,50.0,0.0250000017339997,60.00193199157715,2.4,685.0,268912.0,109.71875,70.0,89.0,23.0,118.0,20.0,740.125,15,1,1,2018
275.8545999145508,112.0,50.0,0.0250000017339997,60.00193199157715,2.4,685.0,268912.0,107.44117647058825,62.0,71.0,23.0,95.0,22.0,740.125,16,1,1,2018
275.8545999145508,103.0,50.0,0.0250000017339997,60.00193199157715,1.6,685.0,268912.0,105.63888888888889,57.0,75.0,23.0,100.0,20.0,740.125,17,1,1,2018
275.83029998779296,102.0,50.0,0.025000001658,60.001955993652345,1.5,685.0,269196.0,104.1842105263158,72.0,78.0,23.0,104.0,5.0,738.0,18,1,1,2018
275.83029998779296,122.0,50.0,0.025000001658,60.001955993652345,1.4,685.0,269196.0,102.775,76.0,76.0,20.0,101.0,2.0,738.0,19,1,1,2018
275.83029998779296,121.0,50.0,0.025000001658,60.001955993652345,1.3,685.0,269196.0,101.6904761904762,73.0,80.0,15.0,106.0,2.0,738.0,20,1,1,2018
275.8169998168945,91.0,50.0,0.0250000016329996,60.00171999359131,0.9,685.0,269460.0,100.25,63.0,70.0,10.0,94.0,4.0,736.3125,21,1,1,2018
275.8169998168945,63.0,50.0,0.0250000016329996,60.00171999359131,0.6,685.0,269460.0,97.8913043478261,49.0,46.0,7.0,64.0,12.0,736.3125,22,1,1,2018
275.8169998168945,45.0,50.0,0.0250000016329996,60.00171999359131,0.5,685.0,269460.0,95.60416666666669,46.0,43.0,6.0,60.0,14.0,736.3125,23,1,1,2018
275.82669982910147,57.0,50.0,0.0250000017220005,60.00171999359131,0.6,696.75,269992.0,93.54,54.0,44.0,4.0,61.0,5.0,739.3125,0,2,1,2018
275.82669982910147,69.0,50.0,0.0250000017220005,60.00171999359131,1.2,696.75,269992.0,92.5576923076923,59.0,68.0,5.0,91.0,2.0,739.3125,1,2,1,2018
275.82669982910147,84.0,50.0,0.0250000017220005,60.00171999359131,1.4,696.75,269992.0,91.94444444444444,62.0,76.0,7.0,101.0,2.0,739.3125,2,2,1,2018
275.8804000854492,81.0,50.0,0.0250000009749997,60.00695599365234,1.2,779.9375,270076.0,91.19642857142856,53.0,71.0,2.0,95.0,2.0,736.8125,3,2,1,2018
275.8804000854492,82.0,50.0,0.0250000009749997,60.00695599365234,1.4,779.9375,270076.0,90.5,55.0,71.0,2.0,95.0,3.0,736.8125,4,2,1,2018
275.8804000854492,100.0,50.0,0.0250000009749997,60.00695599365234,1.8,779.9375,270076.0,90.25,58.0,83.0,4.0,110.0,3.0,736.8125,5,2,1,2018
275.90359985351563,111.0,50.0,0.0250000010480005,60.0050359954834,2.1,741.8125,269888.0,88.05,62.0,87.0,4.0,115.0,3.0,748.25,6,2,1,2018
275.90359985351563,111.0,50.0,0.0250000010480005,60.0050359954834,2.4,741.8125,269888.0,85.61666666666666,65.0,84.0,5.0,111.0,3.0,748.25,7,2,1,2018
275.90359985351563,129.0,50.0,0.0250000010480005,60.0050359954834,2.4,741.8125,269888.0,84.28333333333333,65.0,104.0,5.0,136.0,3.0,748.25,8,2,1,2018
275.8963998413085,133.0,50.0,0.0250000008780006,60.0069279937744,2.4,685.5,269932.0,82.78333333333333,65.0,105.0,8.0,138.0,4.0,743.5,9,2,1,2018
275.8963998413085,131.0,50.0,0.0250000008780006,60.0069279937744,2.4,685.5,269932.0,81.65,66.0,114.0,18.0,149.0,7.0,743.5,10,2,1,2018
275.8963998413085,93.0,50.0,0.0250000008780006,60.0069279937744,1.9,685.5,269932.0,80.08333333333333,56.0,70.0,23.0,94.0,21.0,743.5,11,2,1,2018
275.88239990234365,24.0,50.0,0.0250000008129999,60.00387999725342,0.7,685.0,270076.0,77.36666666666666,31.0,20.0,11.0,29.0,46.0,742.1875,12,2,1,2018
275.88239990234365,22.0,50.0,0.0250000008129999,60.00387999725342,0.5,685.0,270076.0,75.26666666666667,21.0,23.0,6.0,33.0,59.0,742.1875,13,2,1,2018
275.88239990234365,21.0,50.0,0.0250000008129999,60.00387999725342,0.3,685.0,270076.0,72.4,17.0,17.0,3.0,25.0,66.0,742.1875,14,2,1,2018
275.86419982910155,21.0,50.0,0.0250000006050001,60.00596799468994,0.3,685.0,270076.0,69.2,19.0,13.0,2.0,25.0,65.0,740.125,15,2,1,2018
275.86419982910155,21.0,50.0,0.0250000006050001,60.00596799468994,0.3,685.0,270076.0,66.7,30.0,11.0,2.0,25.0,55.0,740.125,16,2,1,2018
275.86419982910155,25.0,50.0,0.0250000006050001,60.00596799468994,0.4,685.0,270076.0,65.3,39.0,18.0,3.0,26.0,42.0,740.125,17,2,1,2018
275.84989990234374,40.0,50.0,0.0250000005400013,60.00756799316406,0.5,685.0,270076.0,63.73333333333333,59.0,27.0,5.0,40.0,20.0,738.8125,18,2,1,2018
275.84989990234374,65.0,50.0,0.0250000005400013,60.00756799316406,0.6,685.0,270076.0,62.3,58.0,49.0,5.0,68.0,18.0,738.8125,19,2,1,2018
275.84989990234374,56.0,50.0,0.0250000005400013,60.00756799316406,0.7,685.0,270076.0,61.0,69.0,47.0,4.0,65.0,6.0,738.8125,20,2,1,2018
275.84109985351563,52.0,50.0,0.0250000006560012,60.0037679977417,0.5,685.0,270076.0,59.03333333333333,57.0,30.0,2.0,51.0,22.0,738.4375,21,2,1,2018
275.84109985351563,30.0,50.0,0.0250000006560012,60.0037679977417,0.3,685.0,270076.0,57.0,40.0,10.0,2.0,30.0,40.0,738.4375,22,2,1,2018
275.84109985351563,31.0,50.0,0.0250000006560012,60.0037679977417,0.3,685.0,270076.0,55.0,34.0,15.0,2.0,31.0,52.0,738.4375,23,2,1,2018
275.8382998657226,30.0,50.0,0.0250000005860012,60.00509599304199,0.2,693.1875,270076.0,52.9,19.0,15.0,2.0,30.0,67.0,738.3125,0,3,1,2018
275.8382998657226,21.0,50.0,0.0250000005860012,60.00509599304199,0.2,693.1875,270076.0,50.46666666666667,19.0,6.0,2.0,25.0,64.0,738.3125,1,3,1,2018
275.8382998657226,21.0,50.0,0.0250000005860012,60.00509599304199,0.2,693.1875,270076.0,47.9,26.0,6.0,2.0,25.0,52.0,738.3125,2,3,1,2018
275.8630999755859,21.0,50.0,0.0250000005510002,60.008487991333006,0.2,758.9375,270076.0,45.86666666666667,22.0,9.0,2.0,25.0,51.0,741.0,3,3,1,2018
275.8630999755859,23.0,50.0,0.0250000005510002,60.008487991333006,0.2,758.9375,270076.0,44.6,27.0,8.0,2.0,25.0,44.0,741.0,4,3,1,2018
275.8630999755859,23.0,50.0,0.0250000005510002,60.008487991333006,0.2,758.9375,270076.0,43.333333333333336,33.0,6.0,2.0,25.0,36.0,741.0,5,3,1,2018
275.8769000244141,21.0,50.0,0.0250000006230007,60.00938799285888,0.25,770.4375,270076.0,42.15,32.5,8.5,2.0,25.0,36.5,736.5625,6,3,1,2018
275.8769000244141,21.0,50.0,0.0250000006230007,60.00938799285888,0.3,770.4375,270076.0,40.28333333333333,32.0,12.0,2.0,25.0,37.0,736.5625,7,3,1,2018
275.8769000244141,21.0,50.0,0.0250000006230007,60.00938799285888,0.3,770.4375,270076.0,37.91666666666666,29.0,6.0,2.0,25.0,40.0,736.5625,8,3,1,2018
275.87639984130857,24.0,50.0,0.025000000531001,60.00628799438476,0.3,685.5,270076.0,35.78333333333333,27.0,7.0,2.0,25.0,42.0,741.1875,9,3,1,2018
275.87639984130857,25.0,50.0,0.025000000531001,60.00628799438476,0.3,685.5,270076.0,33.71666666666667,21.0,9.0,2.0,25.0,50.0,741.1875,10,3,1,2018
275.87639984130857,34.0,50.0,0.025000000531001,60.00628799438476,0.3,685.5,270076.0,31.383333333333333,12.0,13.0,2.0,34.0,62.0,741.1875,11,3,1,2018
275.8614999389648,43.0,50.0,0.0250000010519996,60.00481999206543,0.3,685.0,270076.0,28.883333333333333,13.0,12.0,2.0,43.0,63.0,741.25,12,3,1,2018
275.8614999389648,40.0,50.0,0.0250000010519996,60.00481999206543,0.3,685.0,270076.0,26.28333333333333,14.0,6.0,2.0,40.0,63.0,741.25,13,3,1,2018
275.8614999389648,27.0,50.0,0.0250000010519996,60.00481999206543,0.3,685.0,270076.0,22.95,14.0,6.0,2.0,27.0,66.0,741.25,14,3,1,2018
275.8585998535156,21.0,50.0,0.025000000957001,60.01045999145508,0.2,685.0,270076.0,19.75,15.0,9.0,2.0,25.0,65.0,740.8125,15,3,1,2018
