temp,PM10,prec,shum,wind,CO,srad,pres,Mean,NO2,PM2.5,SO2,AQI,O3,lrad,Hour,Day,Month,Year
275.82769989013667,117.0,50.0,0.0250000010250005,60.0037679977417,1.9,694.5625,268112.0,69.0,95.0,69.0,10.0,93.0,2.0,735.0,0,1,1,2018
275.82769989013667,113.0,50.0,0.0250000010250005,60.0037679977417,1.7,694.5625,268112.0,73.5,92.0,78.0,13.0,104.0,2.0,735.0,1,1,1,2018
275.82769989013667,70.0,50.0,0.0250000010250005,60.0037679977417,1.2,694.5625,268112.0,64.33333333333333,73.0,46.0,10.0,64.0,2.0,735.0,2,1,1,2018
275.89009979248044,61.0,50.0,0.0250000008080005,60.005815994262704,1.1,779.9375,268208.0,57.5,67.0,37.0,7.0,56.0,2.0,737.0625,3,1,1,2018
275.89009979248044,57.0,50.0,0.0250000008080005,60.005815994262704,1.0,779.9375,268208.0,53.2,66.0,36.0,8.0,54.0,2.0,737.0625,4,1,1,2018
275.89009979248044,43.0,50.0,0.0250000008080005,60.005815994262704,0.7,779.9375,268208.0,48.5,61.0,25.0,9.0,43.0,2.0,737.0625,5,1,1,2018
275.9104998779297,39.0,50.0,0.0250000008209999,60.00391199493408,0.7,770.875,267788.0,45.0,57.0,24.0,8.0,39.0,2.0,739.0,6,1,1,2018
275.9104998779297,37.0,50.0,0.0250000008209999,60.00391199493408,0.7,770.875,267788.0,41.875,56.0,20.0,6.0,37.0,2.0,739.0,7,1,1,2018
275.9104998779297,35.0,50.0,0.0250000008209999,60.00391199493408,0.7,770.875,267788.0,39.333333333333336,55.0,19.0,7.0,35.0,2.0,739.0,8,1,1,2018
275.8963998413085,47.0,50.0,0.0250000010570008,60.00351599121094,0.7,685.5,267992.0,37.5,55.0,21.0,6.0,47.0,2.0,740.4375,9,1,1,2018
275.8963998413085,41.0,50.0,0.0250000010570008,60.00351599121094,0.6,685.5,267992.0,35.63636363636363,49.0,17.0,7.0,41.0,5.0,740.4375,10,1,1,2018
275.8963998413085,26.0,50.0,0.0250000010570008,60.00351599121094,0.5,685.5,267992.0,34.166666666666664,44.0,18.0,7.0,26.0,12.0,740.4375,11,1,1,2018
275.8610000610352,22.0,50.0,0.0250000013539996,60.00169199371338,0.5,685.0,268260.0,32.69230769230769,40.0,15.0,7.0,22.0,16.0,738.3125,12,1,1,2018
275.8610000610352,23.0,50.0,0.0250000013539996,60.00169199371338,0.5,685.0,268260.0,31.571428571428573,41.0,17.0,9.0,24.0,18.0,738.3125,13,1,1,2018
275.8610000610352,36.0,50.0,0.0250000013539996,60.00169199371338,0.7,685.0,268260.0,30.933333333333334,46.0,22.0,12.0,36.0,16.0,738.3125,14,1,1,2018
275.8579998779297,53.0,50.0,0.025000001763001,60.00193599700928,0.9,685.0,268464.0,30.8125,51.0,29.0,13.0,52.0,13.0,738.875,15,1,1,2018
275.8579998779297,75.0,50.0,0.025000001763001,60.00193599700928,1.3,685.0,268464.0,31.47058823529412,59.0,42.0,15.0,63.0,8.0,738.875,16,1,1,2018
275.8579998779297,92.0,50.0,0.025000001763001,60.00193599700928,2.0,685.0,268464.0,33.0,70.0,59.0,21.0,80.0,2.0,738.875,17,1,1,2018
275.82979980468747,120.0,50.0,0.0250000017039999,60.00191599273682,2.0,685.0,268768.0,35.36842105263158,78.0,78.0,21.0,104.0,2.0,736.5625,18,1,1,2018
275.82979980468747,133.0,50.0,0.0250000017039999,60.00191599273682,2.0,685.0,268768.0,37.5,79.0,78.0,21.0,104.0,2.0,736.5625,19,1,1,2018
275.82979980468747,123.0,50.0,0.0250000017039999,60.00191599273682,2.0,685.0,268768.0,39.285714285714285,77.0,75.0,21.0,100.0,2.0,736.5625,20,1,1,2018
275.8191000366211,113.0,50.0,0.025000001670001,60.00185199737549,1.9,685.0,268984.0,40.68181818181818,72.0,70.0,16.0,94.0,2.0,735.1875,21,1,1,2018
275.8191000366211,90.0,50.0,0.025000001670001,60.00185199737549,1.3,685.0,268984.0,41.60869565217392,66.0,62.0,11.0,84.0,2.0,735.1875,22,1,1,2018
