temp,PM10,prec,shum,wind,CO,srad,pres,Mean,NO2,PM2.5,SO2,AQI,O3,lrad,Hour,Day,Month,Year
275.8229000854492,122.0,50.0,0.0250000009909998,60.00336799621582,1.7,694.6875,267776.0,77.0,83.0,77.0,15.0,103.0,5.0,734.4375,0,1,1,2018
275.8229000854492,86.0,50.0,0.0250000009909998,60.00336799621582,1.3,694.6875,267776.0,66.0,74.0,55.0,11.0,75.0,4.0,734.4375,1,1,1,2018
275.8229000854492,72.0,50.0,0.0250000009909998,60.00336799621582,1.3,694.6875,267776.0,60.0,72.0,48.0,11.0,66.0,4.0,734.4375,2,1,1,2018
275.8866998291016,100.0,50.0,0.0250000007700007,60.00544399261474,1.4,779.6875,267984.0,58.5,75.0,54.0,11.0,75.0,4.0,736.6875,3,1,1,2018
275.8866998291016,79.0,50.0,0.0250000007700007,60.00544399261474,1.4,779.6875,267984.0,57.4,72.0,53.0,13.0,73.0,4.0,736.6875,4,1,1,2018
275.8866998291016,61.0,50.0,0.0250000007700007,60.00544399261474,1.2,779.6875,267984.0,54.16666666666666,68.0,38.0,12.0,56.0,3.0,736.6875,5,1,1,2018
275.9091998291016,44.0,50.0,0.0250000007770005,60.003563995361326,1.0,771.75,267544.0,50.57142857142857,64.0,29.0,9.0,44.0,3.0,738.4375,6,1,1,2018
275.9091998291016,40.0,50.0,0.0250000007770005,60.003563995361326,0.9,771.75,267544.0,47.5,63.0,26.0,8.0,40.0,3.0,738.4375,7,1,1,2018
275.9091998291016,44.0,50.0,0.0250000007770005,60.003563995361326,0.9,771.75,267544.0,45.22222222222222,59.0,27.0,9.0,44.0,4.0,738.4375,8,1,1,2018
275.8944998168945,39.0,50.0,0.0250000010090004,60.003303993225096,0.9,685.5,267776.0,42.8,55.0,21.0,8.0,39.0,8.0,740.0,9,1,1,2018
275.8944998168945,30.0,50.0,0.0250000010090004,60.003303993225096,0.7,685.5,267776.0,40.72727272727273,42.0,20.0,6.0,30.0,22.0,740.0,10,1,1,2018
275.8944998168945,19.0,50.0,0.0250000010090004,60.003303993225096,0.6,685.5,267776.0,38.66666666666666,31.0,16.0,5.0,23.0,37.0,740.0,11,1,1,2018
275.8576998901367,18.00714285714286,50.0,0.0250000012849997,60.00143199157715,0.5,685.0,268020.0,36.92307692307692,23.0,16.0,4.0,23.0,45.0,737.6875,12,1,1,2018
275.8576998901367,18.00714285714286,50.0,0.0250000012849997,60.00143199157715,0.4,685.0,268020.0,35.07142857142857,22.0,11.0,5.0,20.0,48.0,737.6875,13,1,1,2018
275.8576998901367,22.0,50.0,0.0250000012849997,60.00143199157715,0.6,685.0,268020.0,33.666666666666664,28.0,14.0,6.0,22.0,42.0,737.6875,14,1,1,2018
275.8530999755859,33.0,50.0,0.025000001600001,60.00169599151612,0.8,685.0,268252.0,32.875,39.0,21.0,9.0,33.0,38.0,738.0,15,1,1,2018
275.8530999755859,44.0,50.0,0.025000001600001,60.00169599151612,0.8,685.0,268252.0,32.11764705882353,46.0,20.0,11.0,44.0,30.0,738.0,16,1,1,2018
275.8530999755859,54.0,50.0,0.025000001600001,60.00169599151612,1.0,685.0,268252.0,32.0,55.0,30.0,11.0,52.0,20.0,738.0,17,1,1,2018
275.8241000366211,92.0,50.0,0.0250000015670005,60.00173999786377,1.9,685.0,268416.0,32.94736842105263,76.0,50.0,16.0,71.0,6.0,735.6875,18,1,1,2018
275.8241000366211,130.0,50.0,0.0250000015670005,60.00173999786377,2.0,685.0,268416.0,35.15,84.0,77.0,19.0,103.0,4.0,735.6875,19,1,1,2018
275.8241000366211,143.0,50.0,0.0250000015670005,60.00173999786377,2.0,685.0,268416.0,36.90476190476191,83.0,72.0,19.0,97.0,4.0,735.6875,20,1,1,2018
275.8160998535156,150.0,50.0,0.0250000016130004,60.001559997558594,2.0,685.0,268764.0,38.45454545454545,76.0,71.0,19.0,100.0,3.0,734.625,21,1,1,2018
275.8160998535156,130.0,50.0,0.0250000016130004,60.001559997558594,1.5,685.0,268764.0,39.52173913043478,67.0,63.0,9.0,90.0,4.0,734.625,22,1,1,2018
275.8160998535156,83.0,50.0,0.0250000016130004,60.001559997558594,1.0,685.0,268764.0,40.0,60.0,51.0,6.0,70.0,6.0,734.625,23,1,1,2018
275.83259979248044,46.0,50.0,0.0250000017409995,60.00286799621582,0.7,695.375,269292.0,39.84,46.0,36.0,4.0,51.0,13.0,740.0625,0,2,1,2018
275.83259979248044,45.0,50.0,0.0250000017409995,60.00286799621582,0.7,695.375,269292.0,39.69230769230769,43.0,36.0,3.0,51.0,16.0,740.0625,1,2,1,2018
